,size
Mg30 Zn1 Sn1 O32,1.046875
Sn1 I3,1.4124999999999999
Nd1 Mg1 Sn1,1.6
Fe1 Se1,1.275
Pu1 Pd1,1.575
Sr1 Mg2 Pd1,1.6
K2 Na1 V1 F6,1.0550000000000002
Hf2 V1 Tc1,1.4500000000000002
Sr1 Mg1,1.75
Mg2 Ga1,1.4333333333333333
U1 Sb1 Ru1,1.4999999999999998
Ho1 Co1 Ge1,1.4499999999999997
Li1 Ti2 Os1,1.3875
Li1 Ag2 Au1,1.5
Sc1 Ti1 Zn2,1.425
Mg1 Ti1 Au2,1.4
Zr2 Cu1 Pt1,1.4500000000000002
Na1 Ag1 Pd2,1.55
Ba2 Na1 Cd1,1.9124999999999999
Al1 Zn1 Pd2,1.35
Cs1 Rb1 Mg6,1.74375
Na1 Mg14 B1,1.4781250000000001
Tb1 Hf1 O4,0.95
Li1 V2 P3 O12,0.7972222222222222
Tm1 Ga1 Ni1,1.4666666666666666
Pu1 Sn2,1.5499999999999998
Ce1 Al1 Au1,1.4833333333333332
Al1 V4 S8,1.126923076923077
Cu5 Sn2 Te7,1.3892857142857142
Dy3 Ga8 Rh3,1.4071428571428573
Ho5 Mo2 O12,0.9921052631578947
Rb2 Pa1 F7,1.0
Y6 Pd1 Br10,1.3941176470588235
Na2 Lu1 Cu1 Cl6,1.27
Cs2 Y1 Cu1 Cl6,1.435
Pu1,1.75
K2 Cu1 Br2 F2,1.2928571428571427
Ti1 Pt1,1.375
Na7 As11 O31,0.8948979591836734
Li2 Co1 O3,1.0083333333333333
Na3 Ni2 P2 C2 O14,0.8652173913043478
Li1 Fe4 P3 O12,0.8624999999999999
Li3 Mn5 P6 O24,0.8355263157894737
Cu3 O1 F5,0.7944444444444445
Ba1 La1 I5,1.5857142857142856
Yb1 O3,0.8875
Zn4 P2 O13,0.8
Sr1 H4 O6,0.5999999999999999
S2 N3 O8,0.6730769230769231
Rb1 Cu3 Sn1 Se4,1.3833333333333333
Nb6 Tl3 S1 Br17,1.2944444444444443
Cd5 Si2 O10,0.9382352941176471
Ba1 N6 O1,0.83125
Ac2 Mg1,1.7999999999999998
Ba3 Yb1,2.05
Ca1 Mg2,1.6
Cs1 Ti1 O3,1.1600000000000001
Er1 O1,1.175
Eu2 W2 O5,1.0444444444444443
Gd1 Lu1 Ag2,1.6875
Mg5 Pb1,1.55
Na1 Eu3,1.8375000000000001
Nd1 Re1 O3,1.0
Pr3 Np1,1.8250000000000002
Pr3 Tm1,1.8250000000000002
Pu3 Np1,1.75
Th3 V1,1.6875
Tl1 Rh3,1.4875000000000003
Tm1 Br1,1.45
Tl1 Tc1 O3,1.01
Eu1 Mg2 H5,0.7625
Eu1 P3,1.2125
Tm2 Se3,1.3900000000000001
La5 As1 Pb3,1.811111111111111
Zr1 Fe2,1.4499999999999997
Yb6 Cu23,1.4327586206896552
K2 Te1 S1 O10,0.9142857142857141
V3 N2 O8,0.7807692307692309
Rb1 Na2 B6 Cl1 O10,0.9025000000000001
Ba2 H2 Pd1 S10 O34,0.746938775510204
Sc2 Te3 O9,0.9142857142857144
K3 Ge17,1.3925
P1,1.0
Mo1 H8 N2 O4,0.4766666666666667
Li1 Ce1 C4 O10,0.75625
Sc44 Ir7,1.5656862745098041
Na7 Cu4 As5 O20,0.9930555555555556
Na2 Co1 P4 H12 O18,0.6148648648648649
Na2 In1 Si1 O5,1.0277777777777777
K2 Fe1 F5,1.0375
U3 V1 Sb5,1.5388888888888888
Er1 Bi1 Rh1,1.5666666666666667
La2 P3 Rh3,1.3687500000000001
Ce1 Zn2 Co1,1.475
Tb1 Se1 I1,1.4333333333333331
Zn3 Fe1 P3 O14,0.8023809523809523
Yb2 Mo4 O15,0.8714285714285714
Y3 B1 Cl3,1.3214285714285714
Y3 Mg2 Si3 O13,0.9285714285714286
Y2 Hf2 Mo7 O28,0.8628205128205129
U4 Ga12 Ni1,1.4088235294117648
Tl4 Sn1 I6,1.5863636363636364
Tb1 S1 I1,1.383333333333333
Sm2 Mg1 Pt1 O6,1.0150000000000001
Sn3 I1 F5,0.9166666666666666
Rb2 Gd1 Cl5,1.4375
Pr1 Cu9 Sn4,1.4142857142857146
Np1 Zn1 O3 F6,0.7181818181818181
Mo1 C4 O4 F6,0.6433333333333333
Li1 Ti1 Ni1 F6,0.8
H4 C2 S1 N4,0.5454545454545454
Fe2 Ni3 H4 Se6 O20,0.7642857142857142
Fe2 Te4 Br1 Cl1 O10,0.9194444444444443
Ca2 Cr1 H3 I2 O10,0.8083333333333333
Ba1 Cd1 Fe1 F7,0.86
Ba3 Tm1 Ru2 O9,1.08
As2 Pd5,1.3285714285714285
Au1 Xe1 F9,0.6682438016528925
As1 Ru1 Se1,1.2
Al1 I1 O1,1.0833333333333333
Au3 Br8 N3,1.0857142857142856
Ag3 S1 I3,1.4285714285714284
Ce2 W4 S3 O14,0.891304347826087
Zr1 V1 Cu1 S4,1.1785714285714284
Zr1 B2 Mo3 C2,1.125
Zr1 In1,1.55
Zr1 Se1,1.35
Zr1 Al1 Ir1,1.3833333333333333
Zr4 Si3 Sb5,1.3958333333333333
Zr2 C1 N1,1.1125
Yb1 Zr3 F15,0.7315789473684211
Zn15 B6 Rh17,1.2710526315789474
Zr3 Co8 Si1,1.3791666666666669
Y3 Sn4 Bi1 O14,0.9636363636363636
Y2 Cr1 Fe1 O6,1.0
Y1 Fe10 Si2,1.3846153846153846
Tm2 Sb1 Te1,1.5875
Ti8 Cu3 Ni1,1.3833333333333333
Ti2 Cr3 Si1,1.3499999999999999
Tb1 Al1 Ni4,1.4
Sr1 Nd1 Al1 O4,1.0714285714285714
Sr1 La1 Mn2 O5,1.0833333333333333
Sr3 La1 Mn4 O10,1.086111111111111
Sr7 Mn4 O15,1.0999999999999999
Sr4 Y2 Fe6 O15,1.074074074074074
Sn1 Ge1 Se2,1.25
Sm9 Al5 S21,1.2542857142857142
Sm1 Dy1 Fe17,1.4421052631578946
Sm2 Fe15 Co2 C3,1.3409090909090908
Rb1 Ta2 O6,0.9833333333333332
Sb2 C6 Br9 N3,0.97
Nd2 Mn2 Cu1 Si3,1.39375
Nd2 Fe17 N2,1.3714285714285714
Nd2 Mn1 Ga1 O6,1.0
Na1 Er1 Ti2 O6,0.995
Mn1 Nb1 H8 O5 F5,0.5175
Mn2 Bi3 Sb3 O14,0.925
Mg1 Be1 B1,1.1333333333333333
Mg1 Sc5 Al4,1.4500000000000002
Mg5 Mn3 Zn4 Si4 O24,0.8975
Na14 Mg9 P16 O56,0.9294736842105262
Lu1 Al1 Fe1,1.4666666666666666
Li1 Ru1 Rh1 O4,0.9285714285714286
Li1 In1 Mo6 Se6,1.3285714285714283
La1 Y1 Al4,1.4583333333333333
Li2 V1 Cr1 S4,1.20625
Li2 In1 Fe1 P4 O14,0.8295454545454545
La1 Zr1 Ta3 O11,0.903125
La1 Cu1 Pb1 S3,1.3499999999999999
La2 Mn1 Cr1 O6,1.03
La2 Co1 Sb4,1.5785714285714283
La4 Pr1 Co10 P10,1.326
La1 Ce1 Si2 B2 O10,0.85625
In1 Au3,1.4000000000000001
In1 Mo6 Se4 S4,1.2566666666666666
In3 Sn1,1.5250000000000001
K1 Zr12 Te16,1.4896551724137932
Hf1 Ti1,1.475
Hf1 Sc1 Si2,1.3375000000000001
K2 Ti1 Cr1 P3 O12,0.9157894736842105
La14 Zn45 Si1,1.4858333333333336
Hf8 Ni4 N1,1.4192307692307693
Ga1 Pd1,1.35
K2 Sn1 H1 O1 F6,0.8818181818181818
Ga3 Si1 Ni4,1.3
Fe1 Si1 Mo1,1.3166666666666664
Ga1 Ag1 Ge1 S4,1.1642857142857141
Gd3 Mn3 Ga2 Si1,1.4777777777777779
Fe3 Sn1,1.4124999999999999
Fe3 Co3 Si2,1.30625
Dy1 Ho1 Al4,1.4166666666666665
Cr1 Fe2 As6,1.2333333333333332
Cd2 Te1 Se1,1.4125
Ca1 Dy2 Ge4 O12,0.9210526315789472
Ca1 Zr2 Pb1 O6,1.0300000000000002
Ba4 Ca1 Zr5 O15,1.0859999999999999
Ba1 Sr3 Cu8 B8 O24,0.9124999999999999
Ca1 Al2 Si2 O12,0.8058823529411765
Ca65 Ga24 Sn19,1.6273148148148149
Mg1 In2 Se4,1.314285714285714
Sm2 Mg1 Se4,1.4
Sr2 Y1 Ta1 O6,1.085
H8 C2 N6 O7,0.49999999999999994
Sr1 H4 Ir1 O2 F6,0.6107142857142857
Ho1 Sb1 O4,0.9333333333333331
Rb1 Cr2 S4,1.307142857142857
Al1,1.25
Li2 O1,1.1666666666666665
Mn1 Ga1 N2,1.0
Sr7 C1 N6,1.3285714285714287
Zr1 Ge1 N2,1.025
Zn1 Ag1 N1,1.2000000000000002
Ba3 Nb1 N3,1.407142857142857
Si1 Ge1 N2,0.9125000000000001
Na3 Re2 N5,1.135
Ca1 Mn1 N2,1.125
Ca3 Ti2 N4,1.1999999999999997
Lu1 Mg1 Ti1 S4,1.2357142857142858
Mg5 Si2 N6,1.0461538461538462
La3 Mg2 Cr1 S8,1.3035714285714284
Fe2 Cu1 N2,1.0899999999999999
Ba3 Ta1 N3,1.407142857142857
Li1 Ir1 N2,1.025
Li3 Ir1 N2,1.1666666666666665
Ca2 Mn2 Si3 O12,0.8894736842105263
Al1 Fe1 O3,0.89
Zn1 Cu1 Si2 O6,0.8500000000000001
Ti2 Al1 O4,0.9214285714285713
Ba3 Ca1 Ru2 O9,1.0833333333333335
Yb1 Ag1 O2,1.1375
Sm1 Mg2 Cu9,1.416666666666667
Ca1 Ge2,1.4333333333333331
Na1 Si1 Au3,1.3900000000000001
K9 Ni2 O7,1.4833333333333334
Ag2 P1 Se3,1.275
Mn3 V2 Si3 O12,0.87
Li16 Ta2 N8 O1,1.1814814814814814
Ge2 Pt1,1.2833333333333332
Na2 Ga2 As3,1.3785714285714286
Li2 Cu1 As1,1.35
Ba3 Li4 As4,1.5318181818181817
Li1 Ni6 Ge6,1.3115384615384618
K1 Na2 Li3 Fe2 Si12 O30,0.883
Nd1 B4,1.05
Zn1 Cu2 Sn1 Se4,1.2625000000000002
La2 W3 O12,0.8911764705882352
Zn1 Au2 F8,0.7318181818181819
Mn3 V2 O8,0.9
Ti1 Tl2 O3,1.1666666666666665
Nd1 Ni5,1.4333333333333336
La3 Mn1 Fe1 S7,1.3041666666666667
Fe2 C1,1.1666666666666665
Ni1 O1,0.9750000000000001
Ba1 Mg2 V2 O8,0.9730769230769232
Ba5 V5 O14,1.0791666666666668
Sr2 Fe1 O4,1.114285714285714
Ni1 Rh2 O4,0.9214285714285715
Er1 Mn1 O3,0.99
Na5 Lu1 Mo4 O16,1.0057692307692307
Ba1 Cr1 Si4 O10,0.871875
K3 Co1 N6 O12,0.8659090909090907
Sr1 In4 Ni1,1.5916666666666666
Lu4 Co1 B13,1.0777777777777777
Sm1 Mn2 Ge2,1.43
Ce1 Co1 C2,1.15
Sc1 In1 Cu2,1.4625000000000001
Sr1 Mn2 Ge2,1.46
Mo1 Pb2 O5,1.00625
Dy1 Ge1 Ir1,1.45
K2 Rb1 Gd1 V2 O8,1.1464285714285714
Pu1 Ge3,1.375
Mn4 Be3 Ge3 Se1 O12,0.9065217391304348
Sm3 In1 Se6,1.4
Ca2 In1 Pt2,1.5700000000000003
Mo1 P1,1.225
K1 Ni4 P3 O12,0.89
Ce1 Ta1 O4,0.95
Np1 Co2 Ge2,1.3900000000000001
Nb1 Fe1 O4,0.875
Pb1 Se1 O4,0.8916666666666666
In2 Hg1 S4,1.2285714285714286
Nd1 Ge2 Ru2,1.3900000000000001
Zr1 Cl2,1.1833333333333331
Mo1 N1 Cl3,1.02
Ca2 Mg1 P2 H4 O10,0.7421052631578947
Na1 H1,1.025
Rb3 Mg1 H5,1.0888888888888888
Mg1 H2 Cl2 O1,0.7666666666666666
Li1 Bi3 P2 O10,0.890625
Al1 Sb1,1.35
Ba1 V1 Se3,1.39
Nb3 Cl7,1.135
Si1 H3 I1,0.6499999999999999
Na2 Cd1 Cl4,1.307142857142857
U1 Al3 Ni2,1.3666666666666667
Rb2 Pu1 Cl5,1.43125
Tb16 B4 Br23,1.3453488372093023
K3 Bi1 O4,1.3250000000000002
Y1 Cu1 P2,1.2875
Ho5 Sn3,1.6375
K1 Bi1,1.9000000000000001
Pr1 Si2 Au2,1.35
K3 Bi1,2.0500000000000003
Nd2 O3,1.1
Nb1 H1 O3,0.7
Na1 Zn1 As1,1.4333333333333333
Ce1 Ga3 Pd2,1.425
Sr1 Ce2 Se4,1.4714285714285713
Y6 Fe16 O1,1.4695652173913043
Y1 B7 Mo3,1.1
Rb1 Ce1 H2 S2 O9,0.8066666666666666
Cs1 Re1 O4,1.0583333333333333
Fe3 C1,1.2249999999999999
Zn1 Fe2 O4,0.9357142857142857
Sr25 Cl52,1.3246753246753247
Ba6 Cd1 Ag2 Sn4 S16,1.360344827586207
Na3 In2 Au1,1.6416666666666666
Tb1 V1 O3,0.9800000000000001
U1 C1 O5,0.7785714285714285
Ba3 Na1 Bi1 O6,1.2227272727272727
Gd2 Ti1 O5,1.0
Re1 Sb1 O2 F8,0.6666666666666666
Sr3 Ca1 Ir1 O6,1.159090909090909
Ca1 Al1 B1 O4,0.8999999999999999
Li1 La4 Au1 O8,1.0999999999999999
Na1 Sb3 P2 O10,0.8843749999999999
Na1 Co1 P1 O4,0.9357142857142855
La1 I3 O9,0.8884615384615384
Mn1 Sb1 Se2 Br1,1.2599999999999998
Ir1 Cl3,1.0875
Ho2 Ni10 B5,1.25
Tm1 In1 Au2,1.5
K1 Au1 Cl4,1.2583333333333333
Mo5 As4,1.3166666666666667
Ca1 Ir2,1.5
Cs1 Au1 Se1,1.7
La23 Mg4 Ni7,1.7735294117647058
Y5 Ga1 Co5,1.5499999999999998
H4 Pb1 C2 O6,0.6000000000000001
Li1 Si1 N1 O1,0.95
Fe3 Co1,1.3874999999999997
Sr1 Ga2 Si2 O8,0.8923076923076924
Y1 O1 F1,0.9666666666666666
Li1 Sc1 Si2 O6,0.8850000000000001
Eu1 Co2 Si2,1.35
Mg1 Nb2 Pb3 O9,1.0133333333333332
Fe3 N1,1.2125
Zr1 W2,1.4166666666666665
Yb1 Pa1 O4,0.9916666666666665
Na1 Ca1 Al3 Si3 O12,0.8925000000000001
K1 In1 I4,1.5583333333333331
As2 Pb14 Cl4 O17,1.127027027027027
Na8 Ga42 O67,0.9333333333333333
Y2 Ti2 O7,0.9636363636363636
Li10 Sn1 P2 O12,1.0059999999999998
Co1 P4 H10 O16,0.5629032258064516
Li1 Fe2 P3 O13,0.7921052631578946
V1 H5 Se2 N1 O7,0.609375
Na4 P4 H6 O15,0.7482758620689656
Ca1 H8 Br2 O12,0.5782608695652174
Li2 Cu3 F8,0.8423076923076924
Co2 Hg1 O4,0.9428571428571428
Li2 Fe1 B1 O4,0.9437499999999999
Li2 Mn3 O6,0.9727272727272727
Mg1 Cl2 O1,1.025
Y2 O3,1.08
Re1 O3,0.7875
Na3 As1 O4,1.1187500000000001
Sr1 Pd3 O4,1.075
Cs3 Tl1 O3,1.6428571428571428
La2 Hf1 O5,1.05625
Ti1 Mn5 O12,0.8666666666666667
Li6 V1 O4 F1,1.0791666666666668
Li7 Fe2 P7 O24,0.8587499999999999
Mg1 H12 Se1 O10,0.48541666666666666
Li2 Cu2 Si5 O13,0.8590909090909091
Li2 V3 P9 O28,0.7797619047619047
Yb1 Bi12 O20,0.9984848484848485
V4 O5 F7,0.74375
Li1 V1 O2 F2,0.8333333333333333
H3 N1 Cl1,0.48000000000000004
Li8 V1 Ni3 P6 O24,0.8904761904761904
Li3 V1 O3 F2,0.9444444444444444
Li4 Co3 Cu3 Te2 O16,0.9392857142857143
Li3 V1 Si3 O9,0.8999999999999999
K2 Li1 V1 S4,1.4000000000000001
Li34 Sb8 S7,1.3857142857142855
Li2 Cr1 C1 S1 O7,0.85
Rb4 Sn1 O3,1.5812499999999998
Fe2 Cu1 O4,0.9357142857142857
Li3 V3 B2 O10,0.8944444444444444
Li2 Al1 Co1 O4,0.9875
Gd1 Ta3 O9,0.8884615384615384
Li2 Co1 B1 O4,0.9375
Li1 Ti2 Ni1 P2 O10,0.85
Co3 Bi1 O8,0.8708333333333333
Li8 Ti7 Nb6 O30,0.9431372549019608
Li2 V3 Sn1 O8,0.9428571428571428
Li8 Mg3 Cu9 Si16 O48,0.8886904761904761
Li8 Nb1 O6,1.1099999999999999
Li2 Fe1 W1 O6,0.9249999999999999
La2 Nb2 N2 O5,1.009090909090909
Cu1 As1 O3,0.86
V3 Fe2 Te1 P6 O24,0.7958333333333333
Na2 Ni1 O3,1.125
Na8 V2 O7,1.2529411764705882
Li11 V6 O5 F19,0.8914634146341464
Li1 Cr2 P3 O13,0.7921052631578946
Lu4 Al2 O9,0.9933333333333333
Mn2 O1 F3,0.8166666666666667
Ni2 Mo1,1.3833333333333333
Ba2 Zr1 O4,1.1785714285714284
Ta3 Ag1 O8,0.8958333333333333
Li3 Mn2 P4 O14,0.85
Li3 Fe2 Si2 O8,0.9433333333333334
Er1 Pd1,1.575
Li1 Al1 Rh2,1.35
Cs1 U1 O3,1.23
Yb1 In1 Rh2,1.5
Ti1 V1 Tc2,1.3625
Ti2 Zn1 Re1,1.375
Ti2 Zn1 Tc1,1.375
Li1 Ho2 Os1,1.5625
Cr1 Ga1 Se3,1.23
Cs2 As2 Pd1,1.78
Sc1 Ga3,1.375
Mn1 Co1 Si1,1.2833333333333332
Nd1 Dy3,1.775
Rb2 Nb1 Ag1 Se4,1.54375
Y1 Ga1 Au2,1.4500000000000002
Ca1 W1 N3,1.02
Sm1 Ni1,1.6
Y2 V3 O9,0.9321428571428572
Ca2 Bi1 Sb1 O6,1.025
Mg1 Cu1 O2,1.0125
Sb1 O2,0.8833333333333333
K1 Co1 Cl3,1.31
Ho1 Bi1,1.675
V1 H1,0.8
Tl1 Sb1,1.6749999999999998
Re1 C2,0.9166666666666666
In1 Ag1,1.5750000000000002
Cr1 Te1,1.4
Sr3 N2,1.46
In2 Cu1,1.4833333333333332
Ca4 Si1 N4,1.211111111111111
Cs1 Ba1 Li1 P2 O7,1.0333333333333332
Sr4 Li2 B12 O23,0.851219512195122
Te1 W2 Se1 S2,1.2083333333333333
Sc2 C3 N6,0.8363636363636364
Mg3 W1 N4,1.05625
Te6 Mo3 W1 Se2,1.3666666666666667
Na1 Mg6 Al1 O8,1.053125
K1 Rb1 Mg14 O15,1.114516129032258
K1 Mg14 Ga1 O16,1.065625
Y1 Mg30 C1 O32,1.0421875
Hf1 Mg30 Fe1 O32,1.0492187499999999
Rb1 Mg30 Ga1 O32,1.06015625
Rb1 Hf1 Mg30 O31,1.0714285714285712
Ba1 Cu2 Se2,1.43
Cd1 Se1,1.35
Sr2 U1 Mn1,1.7875
Ca1 Zn1 Sn1,1.5333333333333332
K2 Na2 Nb1 W3 O10,1.0833333333333333
Yb2 Sn1 Ge2,1.49
Dy1 Cd1 Ga1,1.5333333333333332
Nd1 P2 Rh2,1.31
Ce1 In1 Rh1,1.5833333333333333
Ge1 N2 F6,0.6166666666666667
Ca2 Co12 P7,1.276190476190476
Sc1 Tl1 Ag2,1.675
Mg1 Zn1 Ni2,1.3875000000000002
Hf1 Tl1 Au2,1.5375
Li1 Ge1 Pt2,1.35
Be2 Ag1 Pt1,1.2625000000000002
Ni1 S2,1.1166666666666667
Hf1 Mg3,1.5125
La1 Ge4 Rh6,1.3681818181818182
Li2 Tl1 Rh1,1.5375
Hf2 Re1 Pt1,1.4500000000000002
Hf2 Cr1 Ir1,1.4625
Sr2 Zn1 Ga1,1.6624999999999999
K1 Rb2 Na1,2.1750000000000003
Y2 Ag1 Rh1,1.6375000000000002
Na1 Mg6 W1,1.51875
Sr7 Ca1 Mn3 Fe5 O20,1.0833333333333333
Sr2 Ca6 Fe3 Co5 O24,1.0037500000000001
Yb1 Mg149,1.5016666666666667
Th1 Tc2,1.5
Sr3 Pt2,1.74
Co1 Bi1 As1 O5,0.8875
In1 Rh1 O3,0.9400000000000001
Na1 Mg1 S1 O7,0.8500000000000001
Rb2 Ga1 Cu1 F6,1.0350000000000001
Na2 Li1 Nd1 Cl6,1.29
Ti1 B2,1.0333333333333332
Li10 Zn1 P4 S16,1.1564516129032256
Na2 Co3 O4,1.1166666666666667
Mn1 Te1 O3,0.9199999999999999
Ce1 Pr1 O2,1.225
Ru2 C10 S5 Cl4 O5,0.8307692307692308
Er1 I3 O10,0.8535714285714285
Ba1 Li1 O3,1.08
Ba2 In1 Hg1,1.8375
Be1 Al3,1.2
Cr3 As1,1.3375
Ce3 Tm1,1.8250000000000002
Fe1 Cu3,1.3625000000000003
Gd1 Ho1 Tl2,1.8375
Mg16 Al12 Pb1,1.4068965517241379
Mg2 P1,1.3333333333333333
Na3 Pu1,1.7875
Nd1 Ho1 Zn2,1.5750000000000002
Nd1 Sm3,1.85
Sb1 Pt3,1.3750000000000002
Th1 In1 Cu2,1.5125000000000002
Yb1 Ag2 Sn1,1.6
Zr3 Ni1,1.5
Pr3 Sn5,1.6
Sr3 Li1 Sb1 O6,1.1363636363636362
Bi4 Pb7 Se13,1.4145833333333333
Na1 Nd3 Ge1 S7,1.3
Ge3 F8,0.7045454545454546
Te1 C2 S2 N4 Cl2,0.8545454545454545
Sr1 Ge1 Pb1 O4,1.064285714285714
Yb1 Tm2 Se4,1.407142857142857
Rb2 Mo1 S3 O1,1.3928571428571428
Sm1 Mo1 Br1 O4,0.9785714285714284
Li4 Sn1 Se4,1.3166666666666664
Ca4 As3,1.5214285714285714
Nd8 Sb2 S15,1.308
Tl1 As1 H2 F10,0.6107142857142858
La6 Fe13 Pb1,1.585
Rb2 Mn2 Mo3 O12,1.0026315789473683
Rb1 Ba1 Sc1 Si3 O9,0.9866666666666667
Sm2 Zr1 Se5,1.375
Mg5 Si6 O18,0.8586206896551725
Zn3 Fe16 Ni5 O32,0.9357142857142857
Sr1 Np1 P2 O8,0.8791666666666667
Sc3 Ga5,1.4125
Ce1 C3 O6,0.755
Al3 Co1 W9 C3,1.209375
Mn3 Fe2 Ge3 O12,0.8975
Sc3 B5 O12,0.8125
Na3 B3 H4 O8,0.7638888888888888
Mg1 P2 H10 N2 O8,0.5260869565217391
K1 Ba2 Cd2 Sb3,1.74375
Ca3 Si1 O1,1.42
Cs2 K1 Pd1 F6,1.18
Mg1 Hg3,1.5
Tb1 Cd1 Au1,1.5499999999999998
Si1 Ag2 P2,1.2600000000000002
Rb1 Tl1 O1,1.6166666666666665
Tl2 S3,1.3599999999999999
Zn10 Ge1 B8 Rh18,1.2391891891891893
Y4 Cd1 Pd1,1.6916666666666667
Yb6 Mn4 Al43,1.3179245283018868
Y2 Ti1 Si2,1.44
U2 Ni1 C3,1.1583333333333332
Y2 S3 O20,0.744
Tb1 Co1 B4,1.0833333333333333
Rb2 Be2 Zn1 O6 F8,0.8289473684210527
Na2 Te1 H6 S1 O10,0.675
Li6 Yb17 Hg9,1.6234375
K1 Er1 Mo2 O8,0.9708333333333332
K3 Tm1 F6,1.135
K1 H2 C1 N5,0.7388888888888889
K1 Li1 Lu2 Mo4 O16,0.9395833333333332
La3 Ta1 Ga5 O14,0.9652173913043477
Ho6 Ni20 P13,1.294871794871795
Ga1 Pb1 F5,0.8
Cs1 Y1 Mo2 O8,1.0083333333333333
Cs2 Mg1 Zr1 P3 O12,0.9710526315789473
Co4 Mo3 O12,0.8921052631578946
Cr1 Pt1 Br4 N5 Cl1,0.9666666666666667
Ba3 Tb1 B9 O18,0.8596774193548387
As1 Xe1 O3 F6,0.6773347107438016
Zn1 Cu4 Sn2 Hg1 S8,1.196875
Y1 Mn1 Al1,1.4833333333333334
Th4 Si1 Ge1,1.5916666666666666
Th2 Zr1 U1 O8,0.9749999999999999
Tb1 Sc3 B4 O12,0.8575
Tb1 Gd1 Al6,1.38125
Sr2 La2 Mn1 Cu1 O8,1.1035714285714284
Sm2 Si3 Pd1,1.4000000000000001
Sc2 Fe1 B2 Ru2 Rh3,1.2950000000000002
Nd1 Ti1 Nb1 Bi2 O9,0.95
Na3 Y1 Si2 O7,1.0461538461538462
Mg1 Si1 O4,0.8333333333333333
Mn12 Zn4 C1 N3,1.2424999999999997
Mg3 Hg1 Au2,1.45
Nd3 Pb3 I13 O40,0.9008474576271186
Mg3 Al8 Fe1 Si10 O36,0.8362068965517242
Li1 Ta1 Ge1 O5,0.89375
Li4 Zn1 In2 F12,0.8552631578947368
Ir1 Pt1,1.35
Ir1 Pd1,1.375
K1 W3 O9,0.8961538461538462
Hf5 Sc5 Si6,1.396875
Gd1 Er1 Al6,1.38125
Eu1 Ga1 Ag4,1.5916666666666668
Dy2 Sc1 Nb1 O7,0.9772727272727273
Dy2 Mn3 Sb3 O14,0.9295454545454545
Er1 Mn1 Al1,1.4666666666666663
Cs1 Sc1 Cu1 F6,0.95
Cs1 In1 Cu1 P6 O18,0.825925925925926
Ce1 B2 Ru2 Rh1,1.25
Mg1 Se1 O3,0.89
Ca1 Y2 Te4,1.5714285714285712
Ca2 Mg1 Fe1 Si4 O12,0.905
Ba4 Na1 Ir3 O12,1.0825
K4 Cu4 Sn7,1.6233333333333335
Al1 Si1 Ag1 O4,0.907142857142857
Ba8 Ta2 Ru3 Br2 O18,1.1242424242424243
Al1 Cd1 Sb1 Te1,1.4125
Al2 Cu2 Ni1,1.31
Zn1 Cu2 Si1 Se4,1.21875
Sr2 V1 O4,1.107142857142857
K1 Yb1 Si1 S4,1.2928571428571427
Tb3 Si2 C2,1.2642857142857142
Tl4 C1 O5,1.13
Si7 Sn1 N10,0.8694444444444445
Sr1 Rh1 N2,1.1625
Li1 Pb1 N1,1.2999999999999998
Ti3 N2,1.1
Zn1 Cd2 N2,1.1500000000000001
Y1 Ga2 N3,1.0583333333333333
Sr1 Ca7 Mn6 Cr2 O22,1.026315789473684
Ca16 Mn14 Al2 O47,1.00126582278481
Sc1 Ru2 W1,1.3875000000000002
Pr2 Tl1,1.8666666666666667
Pr4 Sb3,1.6785714285714284
Zr2 P2 W1 O12,0.8029411764705883
Zn1 Ag2 Ge1 O4,1.0250000000000001
Lu1 Ir1,1.55
Li1 Sb1 W1 O6,0.8722222222222222
Ag3 Sn2 Ge3 P6,1.2464285714285714
Na3 Ca2 Ta1 O6,1.1708333333333334
Sm1 Al4,1.37
Nd1 Cu1 Sb2,1.525
Gd1 Pb1 Au1,1.65
Na2 C1 O3,1.0166666666666666
Na1 Pb3,1.8
Ce1 Sn6 Ru4,1.4318181818181817
Cr2 Hg1 O4,0.9571428571428571
Tb1 In1 Ir1,1.5499999999999998
Tb1 Sb1 Rh1,1.5166666666666664
Sr1 In1 Pt1,1.633333333333333
Mn2 Ge1 O4,0.9214285714285713
Bi1 Pt1,1.475
Cr1 S1 Br1,1.1833333333333331
Zr1 I3,1.4374999999999998
Si2 Bi14 Ir1 I12,1.4741379310344829
Ho1 Pt2,1.4833333333333334
Li1 Mo2 P3 O13,0.7973684210526315
Li1 Ti1 P2 O7,0.8227272727272726
Co2 P5 O16,0.7521739130434782
Nd1 S1 Br1,1.3333333333333333
B10 Pb6 O21,0.8621621621621621
Nb1 Sb1 F10,0.6583333333333333
Li1 P7,1.05625
La1 I3,1.5374999999999999
B20 H26 O1,0.5127659574468085
Ti1 Cl4 O16,0.7142857142857142
Li8 Ge1 O6,1.0966666666666667
Nb2 Te6 I1,1.411111111111111
La3 Re2 O10,0.97
Na3 Sc1 Br6,1.3900000000000001
Cu1 Se3 I1,1.24
H2 W1 O4,0.6071428571428571
Ni1 P3 W2,1.175
Tl2 Cd3 Sb3,1.5999999999999999
Na1 Li5 N2,1.2937500000000002
Ca1 C4 N6,0.7727272727272727
Ba4 Ge20 Pd3,1.3999999999999997
Tl2 Zn1 I4,1.5357142857142856
